,,,,,,,
,,,,,,,
100,0,0,236.54,22,,,
100,0,0,236.54,19.5,,,
100,0,0,236.54,20,,,
0,0,100,41.14,12.5,,,
0,0,100,41.14,11,,,
0,0,100,41.14,10,,,
88.8889,0,11.1111,120,25.5,,,
66.6667,0,33.3333,120,23.8,,,
75,0,25,120,32,,,
75,0,25,80,28,,,
85,0,15,160,3.78,,,
85,0,15,160,5.4,,,
85,0,15,160,6.9,,,
40,40,20,160,3.85,,,
40,40,20,160,5.65,,,
40,40,20,160,7.2,,,
63,0,37,300,106.5,,,
83,0,17,200,19.52,,,
91,0,9,200,19.33,,,
95,0,5,200,18.17,,,
100,0,0,200,24.33,,,
83,0,17,200,31.35,,,
91,0,9,200,35.6,,,
95,0,5,200,29.83,,,
100,0,0,200,35.17,,,
83,0,17,200,46.05,,,
91,0,9,200,46.43,,,
95,0,5,200,47.38,,,
100,0,0,200,51.63,,,
83,0,17,200,45.68,,,
91,0,9,200,47.33,,,
95,0,5,200,48.05,,,
100,0,0,200,51.12,,,
83,0,17,200,467.48,,,
91,0,9,200,492.27,,,
95,0,5,200,568.33,,,
100,0,0,200,459.42,,,
16.6667,0,83.3333,90,9.7,,,
25,0,75,90,10.1,,,
50,0,50,90,11,,,
75,0,25,90,11.9,,,
83.3333,0,16.6667,90,12.7,,,
90,0,10,230,7.6,,,
66.6667,16.6667,16.6667,180,18.78,,,
50,25,25,180,15,,,
33.3333,3.3333,33.3333,180,11.85,,,
66.6667,16.6667,16.6667,180,26.25,,,
50,25,25,180,25.75,,,
33.3333,33.3333,33.3333,180,24.81,,,
100,0,0,100,11.2,,,
0,0,100,100,3.03,,,
65,0,35,100,8.77,,,
45,20,35,100,7.27,,,
50,0,50,300,25.73,,,
0,0,100,300,28.93,,,
100,0,0,300,25.44,,,
100,0,0,50,3.925,,,
90,0,10,50,3.375,,,
80,0,20,50,3.5,,,
70,0,30,50,3.8,,,
0,0,100,50,2.675,,,
80,10,10,50,3.35,,,
100,0,0,300,12.4,,,
0,0,100,300,10.8,,,
66.6667,0,33.3333,300,12,,,
33.3333,0,66.6667,300,11.6,,,
100,0,0,300,8.92,,,
0,0,100,300,7.48,,,
66.6667,0,33.3333,300,8.72,,,
33.3333,0,66.6667,300,7,,,
66.66,0,33.33,400,10.23,,,
66.66,0,33.33,300,9.7,,,
66.66,0,33.33,200,8.13,,,
76,0,24,220,22,,,
44,32,24,220,25,,,
74,10,16,220,22,,,
42,13,45,220,23,,,
76,0,24,220,20,,,
44,32,24,220,20,,,
74,10,16,220,29,,,
42,13,45,220,20.5,,,
100,0,0,25,4.4,,,
0,0,100,25,3.2,,,
50,0,50,25,4.1,,,
100,0,0,50,4.494,,,
0,0,100,50,3.058,,,
0,0,100,50,25.6,,,
0,0,100,100,24.27,,,
0,0,100,150,19.13,,,
